"","Aleph","B","C","D","K","L","W","X","Delta","Theta","Pi","0119","0250","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","P","Aleph-c"
"Aleph",0,0.404,0.609,0.604,0.64,0.525,0.59,0.691,0.64,0.6,0.669,0.875,0.526,0.657,0.674,0.528,0.596,0.633,0.506,0.669,0.652,0.421,0.652,0.635,0.64,0.646,0.652,0.68,0.663,0.643,0.674,0.692,0.669,0.64,0.669,0.663,0.695,0.657,0.636,0.864
"B",0.404,0,0.674,0.639,0.702,0.638,0.68,0.755,0.713,0.6,0.713,0.875,0.737,0.74,0.74,0.586,0.58,0.714,0.564,0.713,0.602,0.541,0.713,0.68,0.729,0.713,0.729,0.735,0.696,0.732,0.729,0.709,0.738,0.707,0.713,0.724,0.723,0.746,0.545,0.818
"C",0.609,0.674,0,0.703,0.203,0.428,0.261,0.309,0.196,0.536,0.261,0.25,0.579,0.217,0.254,0.435,0.377,0.449,0.391,0.246,0.391,0.406,0.275,0.246,0.232,0.203,0.203,0.29,0.217,0.442,0.246,0.275,0.431,0.283,0.239,0.225,0.304,0.254,0.136,0.545
"D",0.604,0.639,0.703,0,0.569,0.625,0.583,0.709,0.618,0.618,0.632,0.5,0.789,0.597,0.583,0.569,0.583,0.632,0.611,0.59,0.618,0.556,0.604,0.611,0.59,0.597,0.611,0.576,0.556,0.618,0.569,0.611,0.646,0.562,0.632,0.569,0.583,0.611,0.682,0.636
"K",0.64,0.702,0.203,0.569,0,0.294,0.168,0.091,0.086,0.394,0.049,0,0.158,0.026,0.085,0.476,0.255,0.15,0.38,0.084,0.272,0.372,0.148,0.179,0.117,0.067,0.116,0.137,0.126,0.153,0.084,0.116,0.092,0.074,0.115,0.07,0.085,0.059,0.045,0.227
"L",0.525,0.638,0.428,0.625,0.294,0,0.367,0.355,0.316,0.451,0.322,0,0.368,0.288,0.328,0.503,0.412,0.415,0.384,0.311,0.418,0.345,0.322,0.333,0.356,0.311,0.339,0.367,0.356,0.408,0.305,0.401,0.438,0.333,0.35,0.333,0.384,0.328,0.136,0.182
"W",0.59,0.68,0.261,0.583,0.168,0.367,0,0.209,0.161,0.457,0.17,0.125,0.211,0.175,0.213,0.465,0.367,0.211,0.369,0.211,0.37,0.41,0.228,0.274,0.223,0.174,0.189,0.246,0.242,0.236,0.195,0.215,0.2,0.197,0.219,0.199,0.232,0.183,0.182,0.364
"X",0.691,0.755,0.309,0.709,0.091,0.355,0.209,0,0.173,0.445,0.118,0.125,0.632,0.091,0.136,0.418,0.364,0.409,0.427,0.173,0.373,0.455,0.164,0.255,0.127,0.127,0.136,0.182,0.155,0.427,0.091,0.173,0.3,0.155,0.182,0.145,0.209,0.118,0.364,0.455
"Delta",0.64,0.713,0.196,0.618,0.086,0.316,0.161,0.173,0,0.389,0.11,0.125,0.158,0.097,0.167,0.468,0.312,0.184,0.374,0.129,0.315,0.403,0.183,0.204,0.161,0.091,0.129,0.213,0.151,0.204,0.145,0.157,0.162,0.161,0.164,0.159,0.192,0.134,0.091,0.364
"Theta",0.6,0.6,0.536,0.618,0.394,0.451,0.457,0.445,0.389,0,0.423,0.25,0.218,0.429,0.44,0.406,0.314,0.51,0.434,0.417,0.309,0.423,0.469,0.446,0.469,0.394,0.406,0.486,0.451,0.522,0.457,0.494,0.515,0.457,0.474,0.44,0.503,0.446,0.455,0.455
"Pi",0.669,0.713,0.261,0.632,0.049,0.322,0.17,0.118,0.11,0.423,0,0,0.158,0.06,0.121,0.484,0.308,0.218,0.408,0.088,0.33,0.385,0.154,0.17,0.132,0.033,0.088,0.192,0.148,0.21,0.093,0.163,0.131,0.104,0.121,0.11,0.164,0.099,0.227,0.318
"0119",0.875,0.875,0.25,0.5,0,0,0.125,0.125,0.125,0.25,0,0,0.625,0,0.125,0.375,0.125,0.375,0.25,0,0.5,0.5,0.25,0.25,0.125,0.125,0,0.125,0,0,0,0.125,0.125,0,0.125,0,0,0,0.375,0.75
"0250",0.526,0.737,0.579,0.789,0.158,0.368,0.211,0.632,0.158,0.218,0.158,0.625,0,0.211,0.158,0.316,0.316,0.632,0.368,0.158,0.474,0.368,0.368,0.105,0.316,0.211,0.263,0.368,0.421,0.316,0.316,0.526,0.579,0.263,0.421,0.158,0.368,0.211,0.842,0.842
"Byz",0.657,0.74,0.217,0.597,0.026,0.288,0.175,0.091,0.097,0.429,0.06,0,0.211,0,0.069,0.481,0.293,0.136,0.391,0.09,0.293,0.388,0.132,0.175,0.106,0.063,0.111,0.126,0.111,0.134,0.058,0.105,0.069,0.069,0.131,0.075,0.102,0.038,0.136,0.227
"Lect",0.674,0.74,0.254,0.583,0.085,0.328,0.213,0.136,0.167,0.44,0.121,0.125,0.158,0.069,0,0.471,0.309,0.15,0.385,0.133,0.348,0.378,0.17,0.218,0.144,0.117,0.16,0.153,0.165,0.178,0.101,0.157,0.115,0.122,0.186,0.102,0.136,0.102,0.182,0.273
"f-1",0.528,0.586,0.435,0.569,0.476,0.503,0.465,0.418,0.468,0.406,0.484,0.375,0.316,0.481,0.471,0,0.449,0.49,0.453,0.487,0.44,0.412,0.508,0.54,0.487,0.476,0.481,0.464,0.503,0.503,0.487,0.471,0.446,0.476,0.497,0.495,0.503,0.489,0.273,0.455
"f-13",0.596,0.58,0.377,0.583,0.255,0.412,0.367,0.364,0.312,0.314,0.308,0.125,0.316,0.293,0.309,0.449,0,0.313,0.38,0.277,0.288,0.372,0.33,0.34,0.324,0.479,0.484,0.306,0.505,0.338,0.389,0.285,0.338,0.314,0.333,0.306,0.305,0.317,0.227,0.364
"28",0.633,0.714,0.449,0.632,0.15,0.415,0.211,0.409,0.184,0.51,0.218,0.375,0.632,0.136,0.15,0.49,0.313,0,0.401,0.19,0.361,0.429,0.19,0.245,0.211,0.17,0.197,0.204,0.184,0.313,0.156,0.279,0.346,0.136,0.252,0.184,0.218,0.17,0.318,0.5
"33",0.506,0.564,0.391,0.611,0.38,0.384,0.369,0.427,0.374,0.434,0.408,0.25,0.368,0.391,0.385,0.453,0.38,0.401,0,0.38,0.48,0.346,0.391,0.397,0.38,0.358,0.374,0.408,0.369,0.408,0.397,0.413,0.415,0.385,0.413,0.38,0.395,0.413,0.318,0.364
"565",0.669,0.713,0.246,0.59,0.084,0.311,0.211,0.173,0.129,0.417,0.088,0,0.158,0.09,0.133,0.487,0.277,0.19,0.38,0,0.31,0.388,0.196,0.221,0.186,0.079,0.153,0.197,0.163,0.172,0.142,0.157,0.154,0.144,0.137,0.129,0.164,0.113,0.091,0.273
"700",0.652,0.602,0.391,0.618,0.272,0.418,0.37,0.373,0.315,0.309,0.33,0.5,0.474,0.293,0.348,0.44,0.288,0.361,0.48,0.31,0,0.397,0.364,0.315,0.332,0.304,0.342,0.377,0.342,0.382,0.321,0.355,0.385,0.326,0.361,0.342,0.345,0.315,0.318,0.455
"892",0.421,0.541,0.406,0.556,0.372,0.345,0.41,0.455,0.403,0.423,0.385,0.5,0.368,0.388,0.378,0.412,0.372,0.429,0.346,0.388,0.397,0,0.426,0.394,0.42,0.383,0.399,0.415,0.42,0.382,0.399,0.442,0.423,0.383,0.426,0.403,0.441,0.403,0.364,0.318
"1009",0.652,0.713,0.275,0.604,0.148,0.322,0.228,0.164,0.183,0.469,0.154,0.25,0.368,0.132,0.17,0.508,0.33,0.19,0.391,0.196,0.364,0.426,0,0.222,0.186,0.143,0.19,0.186,0.206,0.204,0.143,0.174,0.138,0.16,0.18,0.161,0.169,0.145,0.136,0.273
"1010",0.635,0.68,0.246,0.611,0.179,0.333,0.274,0.255,0.204,0.446,0.17,0.25,0.105,0.175,0.218,0.54,0.34,0.245,0.397,0.221,0.315,0.394,0.222,0,0.229,0.189,0.221,0.219,0.232,0.261,0.211,0.238,0.238,0.176,0.24,0.199,0.232,0.199,0.318,0.409
"1071",0.64,0.729,0.232,0.59,0.117,0.356,0.223,0.127,0.161,0.469,0.132,0.125,0.316,0.106,0.144,0.487,0.324,0.211,0.38,0.186,0.332,0.42,0.186,0.229,0,0.133,0.16,0.142,0.154,0.172,0.128,0.157,0.092,0.149,0.153,0.145,0.169,0.134,0.227,0.318
"1079",0.646,0.713,0.203,0.597,0.067,0.311,0.174,0.127,0.091,0.394,0.033,0.125,0.211,0.063,0.117,0.476,0.479,0.17,0.358,0.079,0.304,0.383,0.143,0.189,0.133,0,0.1,0.169,0.158,0.178,0.12,0.134,0.138,0.106,0.066,0.091,0.13,0.075,0.091,0.227
"1195",0.652,0.729,0.203,0.611,0.116,0.339,0.189,0.136,0.129,0.406,0.088,0,0.263,0.111,0.16,0.481,0.484,0.197,0.374,0.153,0.342,0.399,0.19,0.221,0.16,0.1,0,0.175,0.184,0.197,0.153,0.163,0.146,0.16,0.126,0.129,0.175,0.134,0.227,0.318
"1216",0.68,0.735,0.29,0.576,0.137,0.367,0.246,0.182,0.213,0.486,0.192,0.125,0.368,0.126,0.153,0.464,0.306,0.204,0.408,0.197,0.377,0.415,0.186,0.219,0.142,0.169,0.175,0,0.153,0.153,0.148,0.163,0.192,0.164,0.208,0.186,0.198,0.169,0.318,0.318
"1230",0.663,0.696,0.217,0.556,0.126,0.356,0.242,0.155,0.151,0.451,0.148,0,0.421,0.111,0.165,0.503,0.505,0.184,0.369,0.163,0.342,0.42,0.206,0.232,0.154,0.158,0.184,0.153,0,0.172,0.147,0.081,0.146,0.149,0.213,0.145,0.181,0.134,0.182,0.273
"1241",0.643,0.732,0.442,0.618,0.153,0.408,0.236,0.427,0.204,0.522,0.21,0,0.316,0.134,0.178,0.503,0.338,0.313,0.408,0.172,0.382,0.382,0.204,0.261,0.172,0.178,0.197,0.153,0.172,0,0.172,0.261,0.3,0.14,0.242,0.204,0.261,0.172,0.364,0.409
"1242",0.674,0.729,0.246,0.569,0.084,0.305,0.195,0.091,0.145,0.457,0.093,0,0.316,0.058,0.101,0.487,0.389,0.156,0.397,0.142,0.321,0.399,0.143,0.211,0.128,0.12,0.153,0.148,0.147,0.172,0,0.128,0.069,0.09,0.142,0.118,0.102,0.086,0.136,0.227
"1253",0.692,0.709,0.275,0.611,0.116,0.401,0.215,0.173,0.157,0.494,0.163,0.125,0.526,0.105,0.157,0.471,0.285,0.279,0.413,0.157,0.355,0.442,0.174,0.238,0.157,0.134,0.163,0.163,0.081,0.261,0.128,0,0.131,0.145,0.174,0.14,0.192,0.128,0.318,0.409
"1344",0.669,0.738,0.431,0.646,0.092,0.438,0.2,0.3,0.162,0.515,0.131,0.125,0.579,0.069,0.115,0.446,0.338,0.346,0.415,0.154,0.385,0.423,0.138,0.238,0.092,0.138,0.146,0.192,0.146,0.3,0.069,0.131,0,0.092,0.177,0.123,0.123,0.069,0.409,0.636
"1365",0.64,0.707,0.283,0.562,0.074,0.333,0.197,0.155,0.161,0.457,0.104,0,0.263,0.069,0.122,0.476,0.314,0.136,0.385,0.144,0.326,0.383,0.16,0.176,0.149,0.106,0.16,0.164,0.149,0.14,0.09,0.145,0.092,0,0.175,0.113,0.13,0.086,0.136,0.273
"1546",0.669,0.713,0.239,0.632,0.115,0.35,0.219,0.182,0.164,0.474,0.121,0.125,0.421,0.131,0.186,0.497,0.333,0.252,0.413,0.137,0.361,0.426,0.18,0.24,0.153,0.066,0.126,0.208,0.213,0.242,0.142,0.174,0.177,0.175,0,0.164,0.181,0.164,0.136,0.364
"1646",0.663,0.724,0.225,0.569,0.07,0.333,0.199,0.145,0.159,0.44,0.11,0,0.158,0.075,0.102,0.495,0.306,0.184,0.38,0.129,0.342,0.403,0.161,0.199,0.145,0.091,0.129,0.186,0.145,0.204,0.118,0.14,0.123,0.113,0.164,0,0.13,0.113,0.136,0.227
"2148",0.695,0.723,0.304,0.583,0.085,0.384,0.232,0.209,0.192,0.503,0.164,0,0.368,0.102,0.136,0.503,0.305,0.218,0.395,0.164,0.345,0.441,0.169,0.232,0.169,0.13,0.175,0.198,0.181,0.261,0.102,0.192,0.123,0.13,0.181,0.13,0,0.136,0.136,0.409
"2174",0.657,0.746,0.254,0.611,0.059,0.328,0.183,0.118,0.134,0.446,0.099,0,0.211,0.038,0.102,0.489,0.317,0.17,0.413,0.113,0.315,0.403,0.145,0.199,0.134,0.075,0.134,0.169,0.134,0.172,0.086,0.128,0.069,0.086,0.164,0.113,0.136,0,0.091,0.227
"P",0.636,0.545,0.136,0.682,0.045,0.136,0.182,0.364,0.091,0.455,0.227,0.375,0.842,0.136,0.182,0.273,0.227,0.318,0.318,0.091,0.318,0.364,0.136,0.318,0.227,0.091,0.227,0.318,0.182,0.364,0.136,0.318,0.409,0.136,0.136,0.136,0.136,0.091,0,0.818
"Aleph-c",0.864,0.818,0.545,0.636,0.227,0.182,0.364,0.455,0.364,0.455,0.318,0.75,0.842,0.227,0.273,0.455,0.364,0.5,0.364,0.273,0.455,0.318,0.273,0.409,0.318,0.227,0.318,0.318,0.273,0.409,0.227,0.409,0.636,0.273,0.364,0.227,0.409,0.227,0.818,0
